time,x,y,z,vel,roll,pitch,yaw,terrainHeight,reward
21.59166,0,6025.762,0,70.20524,0,0,0,6000,-1
21.60682,0,6025.758,0,35.23149,0,0,0,6000,-1
21.62241,0,6025.754,0,17.74103,0,0,0,6000,-0.7741034
21.6372,0,6030,0,134.628,0,0,0,6000,-1
21.65237,0,6025.75,0,72.70901,0,0,0,6000,-1
21.67564,0,6025.747,0,36.43846,0,0,0,6000,-1
21.69551,0,6025.743,0,18.31751,0,0,0,6000,-0.8317513
21.7162,0,6025.739,0,9.25318,0,0,0,6000,0.07468203
21.72851,0,6025.735,0,4.785263,0,0,0,6000,0.5214737
21.74221,0,6025.731,0,2.535146,0,0,0,6000,0.7464854
21.75685,0,6030,0,144.5343,0,0,0,6000,-1
21.7706,0,6025.727,0,83.16456,0,0,0,6000,-1
21.78367,0,6025.723,0,41.7317,0,0,0,6000,-1
21.79752,0,6030,0,133.5402,0,0,0,6000,-1
21.81198,0,6025.719,0,81.31149,0,0,0,6000,-1
21.83501,0,6025.715,0,40.74053,0,0,0,6000,-1
21.85145,0,6025.711,0,20.48907,0,0,0,6000,-1
21.86895,0,6025.707,0,10.35617,0,0,0,6000,-0.0356166
21.8891,0,6025.703,0,5.274994,0,0,0,6000,0.4725006
21.90995,0,6025.699,0,2.731157,0,0,0,6000,0.7268843
21.93047,0,6025.695,0,1.460788,0,0,0,6000,0.8539212
21.95118,0,6025.691,0,0.8246899,0,0,0,6000,0.917531
21.96411,0,6025.688,0,0.5633861,0,0,0,6000,0.9436614
21.98394,0,6025.684,0,0.3802018,0,0,0,6000,0.9619798
21.99917,0,6030,0,141.4816,0,0,0,6000,-1
22.01563,0,6025.68,0,60.5427,0,0,0,6000,-1
22.03029,0,6025.676,0,30.40451,0,0,0,6000,-1
22.0472,0,6025.672,0,15.31776,0,0,0,6000,-0.5317757
22.06363,0,6025.668,0,7.777791,0,0,0,6000,0.2222209
22.08573,0,6025.664,0,3.977285,0,0,0,6000,0.6022715
22.10216,0,6025.66,0,2.107471,0,0,0,6000,0.7892529
22.12241,0,6025.656,0,1.150198,0,0,0,6000,0.8849802
22.15079,0,6025.652,0,0.6439121,0,0,0,6000,0.9356088
22.16433,0,6025.648,0,0.4662321,0,0,0,6000,0.9533768
22.18371,0,6025.645,0,0.3338828,0,0,0,6000,0.9666117
22.19677,0,6030,0,166.6672,0,0,0,6000,-1
22.21,0,6025.641,0,81.33633,0,0,0,6000,-1
22.22448,0,6025.637,0,40.80311,0,0,0,6000,-1
22.23873,0,6030,0,132.6974,0,0,0,6000,-1
22.25195,0,6025.633,0,98.79617,0,0,0,6000,-1
22.26611,0,6025.629,0,49.53604,0,0,0,6000,-1
22.28041,0,6025.625,0,24.90458,0,0,0,6000,-1
22.30769,0,6025.621,0,12.5239,0,0,0,6000,-0.2523896
22.3271,0,6025.617,0,6.375108,0,0,0,6000,0.3624892
22.34732,0,6025.613,0,3.284151,0,0,0,6000,0.671585
22.36419,0,6025.609,0,1.757887,0,0,0,6000,0.8242113
22.38161,0,6025.605,0,0.99107,0,0,0,6000,0.900893
22.3953,0,6030,0,160.0024,0,0,0,6000,-1
22.41009,0,6025.601,0,68.66933,0,0,0,6000,-1
22.42533,0,6025.597,0,34.46289,0,0,0,6000,-1
22.44154,0,6025.593,0,17.35188,0,0,0,6000,-0.7351885
22.46397,0,6025.589,0,8.763036,0,0,0,6000,0.1236964
22.48043,0,6025.585,0,4.50013,0,0,0,6000,0.549987
22.50525,0,6025.582,0,2.328781,0,0,0,6000,0.7671219
22.53057,0,6025.578,0,1.241498,0,0,0,6000,0.8758502
22.55298,0,6025.574,0,0.7079093,0,0,0,6000,0.9292091
22.56656,0,6025.57,0,0.497784,0,0,0,6000,0.9502216
22.58031,0,6025.566,0,0.3909405,0,0,0,6000,0.960906
22.60097,0,6025.562,0,0.2900262,0,0,0,6000,0.9709974
22.62328,0,6025.558,0,0.2325498,0,0,0,6000,0.976745
22.63016,0,6030,0,322.866,0,0,0,6000,-1
22.64603,0,6025.554,0,21.39348,0,0,0,6000,-1
22.66297,0,6025.55,0,10.58143,0,0,0,6000,-0.05814258
22.68212,0,6025.546,0,5.188731,0,0,0,6000,0.4811269
22.70092,0,6025.542,0,2.490475,0,0,0,6000,0.7509525
22.71395,0,6030,0,172.2996,0,0,0,6000,-1
22.72721,0,6025.539,0,82.03609,0,0,0,6000,-1
22.74198,0,6025.535,0,41.15034,0,0,0,6000,-1
22.75636,0,6030,0,134.6193,0,0,0,6000,-1
22.77648,0,6025.531,0,43.76591,0,0,0,6000,-1
22.79257,0,6025.527,0,22.00431,0,0,0,6000,-1
22.80908,0,6025.523,0,11.12052,0,0,0,6000,-0.1120522
22.82695,0,6025.519,0,5.669506,0,0,0,6000,0.4330494
22.85084,0,6025.515,0,2.916536,0,0,0,6000,0.7083464
22.8654,0,6025.511,0,1.609142,0,0,0,6000,0.8390858
22.88194,0,6025.507,0,0.9226356,0,0,0,6000,0.9077364
22.89921,0,6030,0,129.6465,0,0,0,6000,-1
